days away,car class,Alamo,Avis,Budget,Enterprise
89,Economy Car,323,452,427,341
89,Compact Car,319,413,387,363
89,Intermediate Car,328.22,426,402,341
89,Standard Car,361,462,436,371
89,Fullsize Car,444,462,436,448
89,Premium Car,454,1078,473,NA
89,Intermediate SUV,395,673,596,407
89,Standard SUV,483,1319,711,533
89,Fullsize Crossover,740,NA,NA,798
89,Premium Crossover,NA,NA,NA,745
89,Mini Van,483,1794,559,533
89,Standard Van,740,NA,NA,NA
89,Fullsize SUV,765,1639,808,745
89,Standard Convertible,512,1185,527,511
89,Standard Specialty,419,NA,NA,425
89,Luxury Car,NA,1154,1098,NA
89,Premium SUV,966,2041,1068,929
89,Luxury SUV,1214,NA,NA,1158
89,Fullsize Van,1083,1217,1118,1050
