days away,car class,Alamo,Avis,Budget,Enterprise
114,Economy Car,283.0,462.0,617.0,299.0
114,Compact Car,283.0,423.0,447.0,299.0
114,Intermediate Car,282.96,443.0,418.0,299.0
114,Standard Car,312.0,482.0,456.0,326.0
114,Fullsize Car,312.0,482.0,456.0,326.0
114,Premium Car,271.0,1084.0,490.0,264.0
114,Intermediate SUV,245.0,1096.0,523.0,264.0
114,Standard SUV,409.0,1179.0,663.0,415.0
114,Fullsize Crossover,626.0,,,616.0
114,Premium Crossover,,,,591.0
114,Mini Van,476.0,1603.0,490.0,477.0
114,Standard Van,727.0,,,
114,Fullsize SUV,598.0,1553.0,685.0,591.0
114,Standard Convertible,387.0,1120.0,418.0,396.0
114,Standard Specialty,362.0,,,372.0
114,Luxury Car,,1120.0,1066.0,
114,Premium SUV,788.0,1824.0,891.0,765.0
114,Luxury SUV,992.0,,,953.0
114,Fullsize Van,1097.0,1223.0,1124.0,1050.0
113,Economy Car,283.0,462.0,617.0,299.0
113,Compact Car,283.0,423.0,447.0,299.0
113,Intermediate Car,282.96,443.0,418.0,299.0
113,Standard Car,312.0,482.0,456.0,326.0
113,Fullsize Car,312.0,482.0,456.0,326.0
113,Premium Car,271.0,1084.0,490.0,264.0
113,Intermediate SUV,245.0,1096.0,523.0,264.0
113,Standard SUV,409.0,1179.0,663.0,415.0
113,Fullsize Crossover,626.0,,,616.0
113,Premium Crossover,,,,591.0
113,Mini Van,476.0,1603.0,490.0,477.0
113,Standard Van,727.0,,,
113,Fullsize SUV,598.0,1553.0,685.0,591.0
113,Standard Convertible,387.0,1120.0,418.0,396.0
113,Standard Specialty,362.0,,,372.0
113,Luxury Car,,1120.0,1066.0,
113,Premium SUV,788.0,1824.0,891.0,765.0
113,Luxury SUV,992.0,,,953.0
113,Fullsize Van,1097.0,1223.0,1124.0,1050.0
113,Economy Car,283.0,462.0,617.0,299.0
113,Compact Car,283.0,423.0,447.0,299.0
113,Intermediate Car,282.96,443.0,418.0,299.0
113,Standard Car,312.0,482.0,456.0,326.0
113,Fullsize Car,312.0,482.0,456.0,326.0
113,Premium Car,271.0,1084.0,490.0,264.0
113,Intermediate SUV,245.0,1096.0,523.0,264.0
113,Standard SUV,409.0,1179.0,663.0,415.0
113,Fullsize Crossover,626.0,,,616.0
113,Premium Crossover,,,,591.0
113,Mini Van,476.0,1603.0,490.0,477.0
113,Standard Van,727.0,,,
113,Fullsize SUV,598.0,1553.0,685.0,591.0
113,Standard Convertible,387.0,1120.0,418.0,396.0
113,Standard Specialty,362.0,,,372.0
113,Luxury Car,,1120.0,1066.0,
113,Premium SUV,788.0,1824.0,891.0,765.0
113,Luxury SUV,992.0,,,953.0
113,Fullsize Van,1097.0,1223.0,1124.0,1050.0
112,Economy Car,283.0,462.0,617.0,299.0
112,Compact Car,283.0,423.0,447.0,299.0
112,Intermediate Car,282.96,443.0,418.0,299.0
112,Standard Car,312.0,482.0,456.0,326.0
112,Fullsize Car,312.0,482.0,456.0,326.0
112,Premium Car,271.0,1084.0,490.0,264.0
112,Intermediate SUV,245.0,1096.0,523.0,264.0
112,Standard SUV,409.0,1179.0,663.0,415.0
112,Fullsize Crossover,626.0,,,616.0
112,Premium Crossover,,,,591.0
112,Mini Van,476.0,1603.0,490.0,477.0
112,Standard Van,727.0,,,
112,Fullsize SUV,598.0,1553.0,685.0,591.0
112,Standard Convertible,387.0,1120.0,418.0,396.0
112,Standard Specialty,362.0,,,372.0
112,Luxury Car,,1120.0,1066.0,
112,Premium SUV,788.0,1824.0,891.0,765.0
112,Luxury SUV,992.0,,,953.0
112,Fullsize Van,1097.0,1223.0,1124.0,1050.0
111,Economy Car,283.0,462.0,501.0,299.0
111,Compact Car,283.0,423.0,468.0,299.0
111,Intermediate Car,282.96,434.0,410.0,299.0
111,Standard Car,312.0,472.0,446.0,326.0
111,Fullsize Car,312.0,472.0,446.0,326.0
111,Premium Car,271.0,1084.0,490.0,264.0
111,Intermediate SUV,245.0,727.0,523.0,264.0
111,Standard SUV,409.0,1179.0,578.0,415.0
111,Fullsize Crossover,626.0,,,616.0
111,Premium Crossover,,,,591.0
111,Mini Van,476.0,1603.0,490.0,477.0
111,Standard Van,727.0,,,
111,Fullsize SUV,598.0,1298.0,685.0,591.0
111,Standard Convertible,387.0,1120.0,436.0,396.0
111,Standard Specialty,362.0,,,372.0
111,Luxury Car,,1120.0,1066.0,
111,Premium SUV,788.0,1611.0,891.0,765.0
111,Luxury SUV,992.0,,,953.0
111,Fullsize Van,1097.0,1223.0,1124.0,1050.0
110,Economy Car,283,462,501,299
110,Compact Car,283,423,468,299
110,Intermediate Car,282.96,434,410,299
110,Standard Car,312,472,446,326
110,Fullsize Car,312,472,446,326
110,Premium Car,271,1084,490,264
110,Intermediate SUV,245,727,523,264
110,Standard SUV,409,1179,578,415
110,Fullsize Crossover,626,NA,NA,616
110,Premium Crossover,NA,NA,NA,591
110,Mini Van,470,1603,490,472
110,Standard Van,719,NA,NA,NA
110,Fullsize SUV,598,1298,685,591
110,Standard Convertible,387,1120,436,396
110,Standard Specialty,362,NA,NA,372
110,Luxury Car,NA,1120,1066,NA
110,Premium SUV,788,1611,891,765
110,Luxury SUV,992,NA,NA,953
110,Fullsize Van,1097,1223,1124,1050
